jop name,laocation,company name,experience,experience year,skills
Analyst (Demand Management) ñ IT PMO & Partnerships,"Dubai, United Arab Emirates ",flydubai,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Analysis', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Business Analysis', ' ∑ Finance', ' ∑ Accounting', ' ∑ Microsoft Office']"
Power BI Developer,"New Cairo, Cairo, Egypt ",eVision,Experienced,6 - 10 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ BI', 'Computer Science', 'Database', ' ∑ Information Technology (IT)', ' ∑ Power BI', 'Data Warehousing', ' ∑ Analysis']"
Director of Medical Records,"Abu Dhabi, United Arab Emirates ",Career Raiser,Not specified,None,"[' ∑ Medical/Healthcare', ' ∑ Pharmaceutical', ' ∑ Medical', ' ∑ Healthcare', ' ∑ Management', ' ∑ Medicine', ' ∑ Dentistry', ' ∑ Hospital Management', 'Pharmaceutical Science']"
App and Web developer,"Katameya, Cairo, Egypt ",MFG,Experienced,2+ Yrs of Exp,"[' ∑ IT/Software Development', 'Computer Science', 'Data Entry', ' ∑ Development', ' ∑ Programming', ' ∑ Software Engineering']"
Project Manager - Data Networks (ICT),"Heliopolis, Cairo, Egypt ",SABA,Experienced,2 - 5 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Project/Program Management', ' ∑ Engineering - Telecom/Technology', '', ' ∑ Project Management', ' ∑ Software Engineering', 'Data Networks', ' ∑ Networks', ' ∑ PMP', ' ∑ Microsoft Visio', ' ∑ Smartdraw']"
Test Specialist - Data,"New Cairo, Cairo, Egypt ",eT3 - Tomorrow Information Technology,Experienced,2 - 4 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ ETL', ' ∑ Agile Methodologies', ' ∑ JIRA', ' ∑ Microsoft TFS', ' ∑ ALM', ' ∑ SQL', ' ∑ DWH']"
Business Systems Integration Manager,"Doha, Qatar ",Mekdam Holding Group,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', 'Computer Science', ' ∑ Information Technology (IT)', ' ∑ Computer Engineering', ' ∑ Accounting', ' ∑ Business', ' ∑ ERP', ' ∑ Finance']"
Senior Talend Architect,"Maadi, Cairo, Egypt ",Sceel.io,Experienced,4 - 6 Yrs of Exp,"[' ∑ Engineering - Construction/Civil/Architecture', ' ∑ Creative/Design/Art', ' ∑ IT/Software Development', ' ∑ Architect', ' ∑ Architecture', ' ∑ AutoCAD', 'Big Data', ' ∑ Communication', 'Computer Science', ' ∑ Design']"
Senior Analyst - Accounting,"Cairo, Egypt ",S.C. Johnson & Son Inc,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Analysis', ' ∑ Business Analysis', ' ∑ Finance', ' ∑ Accounting', ' ∑ Financial Analysis']"
Lead of Project Engineering COMP3 (F-4322-Q)-2,"Doha, Qatar ",Mekdam Holding Group,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ engineering', ' ∑ information technology (it)', 'computer science', ' ∑ software development', ' ∑ project', ' ∑ projects', 'data']"
Senior Inventory Analyst,"Abu Dhabi, United Arab Emirates ",Etihad Airways,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Analysis', ' ∑ Business Analysis', ' ∑ Finance', ' ∑ Accounting', ' ∑ Financial Analysis']"
Senior Analyst - Business Application - Oracle Fusion,"Doha, Qatar ",Sidra Medicine,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Analysis', ' ∑ Business Analysis', ' ∑ Finance', ' ∑ Accounting', ' ∑ Financial Analysis']"
Senior Analyst,"Riyadh, Saudi Arabia ",Professional Recruitment,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Analysis', ' ∑ Business Analysis', ' ∑ Finance', ' ∑ Accounting', ' ∑ Financial Analysis']"
Senior SAP Security and GRC Consultant,"Doha, Qatar ",Mekdam Holding Group,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', ' ∑ SAP', 'Computer Science', ' ∑ ABAP', ' ∑ Software Engineering', ' ∑ ERP', ' ∑ Java']"
Core Assurance COOPs - All KSA,"Riyadh, Saudi Arabia ",PwC - United Arab Emirates,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Analyst/Research', ' ∑ Accounting', ' ∑ Finance', ' ∑ ACCA', ' ∑ CPA', ' ∑ Microsoft Office', ' ∑ ACA', ' ∑ Commerce']"
Senior Analyst - Financial Planning & Control,"Dubai, United Arab Emirates ",flydubai,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Analysis', ' ∑ Business Analysis', ' ∑ Finance', ' ∑ Accounting', ' ∑ Financial Analysis']"
QUALITY ANALYST,"Riyadh, Saudi Arabia ",King Faisal Specialist Hospital & Research Centre,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Pharmaceutical', ' ∑ Quality', ' ∑ Quality Control', ' ∑ Quality Assurance', ' ∑ Pharmacy', ' ∑ Analysis', 'Science', 'Computer Science']"
Presales Manager - Enterprise Business Solutions,"Cairo, Egypt ",Giza Arabia Systems,Not specified,None,"[' ∑ Sales/Retail', ' ∑ Engineering - Telecom/Technology', ' ∑ Sales', ' ∑ Information Technology (IT)', ' ∑ Presales', ' ∑ Sales Skills', ' ∑ Engineering', 'Computer Science', ' ∑ Customer Service']"
Senior MIS Risk Analyst,"Zamalek, Cairo, Egypt ",Al Ahly capital holding - Al Ahly Tamkeen,Experienced,3 - 5 Yrs of Exp,"[' ∑ Banking', ' ∑ Analyst/Research', ' ∑ Analysis', 'Data Analysis', 'Computer Science', ' ∑ Banking', ' ∑ Risk', ' ∑ Management', ' ∑ information system', ' ∑ business']"
safety and security supervisor,"Riyadh, Saudi Arabia ",Alert International,Not specified,None,"[' ∑ Quality', ' ∑ Engineering - Telecom/Technology', '', ' ∑ Security', ' ∑ Engineering', 'Computer Science', ' ∑ Quality', ' ∑ Information Technology (IT)', ' ∑ Safety', ' ∑ English']"
Data Engineer,"Agouza, Giza, Egypt ",LxT,Experienced,1 - 3 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Computer Engineering', 'Data Engineering', ' ∑ Python', ' ∑ SQL']"
